model,test_accuracy,test_macro_f1
v2_audio_only,0.6166666666666667,0.6130240282277175
v2_audio_85_text_rnn_15,0.6166666666666667,0.6130240282277175
v2_audio_95_distilbert_05,0.6166666666666667,0.6130240282277175
v2_audio_85_distilbert_15,0.6125,0.6084642185076246
v2_audio_plus_text_rnn_avg,0.6125,0.6069671143300696
v2_audio_plus_distilbert_avg,0.6083333333333333,0.6028073668029788
old_aug_audio_distilbert_avg,0.4791666666666667,0.4437652929038599
