epoch,train_loss,train_acc,val_loss,val_acc
1,2.0610843976338704,0.17760416666666667,2.004311943054199,0.17916666666666667
2,1.9056592146555582,0.26666666666666666,1.9027395089467367,0.2833333333333333
3,1.7271144529183706,0.3546875,1.6665911992390952,0.31666666666666665
4,1.618770033121109,0.375,1.754006838798523,0.3333333333333333
5,1.5205490628878275,0.4015625,1.6753505706787108,0.3125
6,1.4937934517860412,0.42239583333333336,1.4874595880508423,0.43333333333333335
7,1.4351685285568236,0.44375,1.8190073251724244,0.36666666666666664
8,1.367302304506302,0.4546875,2.495062780380249,0.1875
9,1.3318110565344492,0.4791666666666667,2.132492780685425,0.30416666666666664
10,1.2977717618147533,0.4921875,1.7128703753153482,0.35833333333333334
11,1.2614274581273397,0.5088541666666667,1.3551992893218994,0.49166666666666664
12,1.2264659504095714,0.5192708333333333,2.038386042912801,0.3416666666666667
13,1.1737907340129217,0.5526041666666667,1.9651254653930663,0.3541666666666667
14,1.1202291568120322,0.5609375,1.682068697611491,0.4041666666666667
15,1.1099842021862665,0.5770833333333333,2.245865821838379,0.37916666666666665
16,1.0786450684070588,0.5859375,2.236124022801717,0.32083333333333336
17,1.001214708884557,0.6026041666666667,1.3848157246907553,0.5083333333333333
18,0.9841730912526448,0.6260416666666667,2.3159902731577557,0.22916666666666666
19,0.9686918526887893,0.6223958333333334,1.4711615721384683,0.48333333333333334
20,0.9407747517029444,0.6369791666666667,2.5464316527048747,0.2125
21,0.9144766906897227,0.6453125,2.0016382694244386,0.4083333333333333
