epoch,train_loss,train_acc,val_loss,val_acc
1,2.015425682067871,0.20989583333333334,1.806100606918335,0.24166666666666667
2,1.774299156665802,0.3307291666666667,1.6626543442408244,0.37083333333333335
3,1.5816107153892518,0.421875,1.5010293960571288,0.4791666666666667
4,1.4517122328281402,0.48385416666666664,1.4182466904322306,0.49166666666666664
5,1.369671090443929,0.5135416666666667,1.5591837247212728,0.4041666666666667
6,1.252881446480751,0.5760416666666667,1.3008153676986693,0.5625
7,1.1605391641457876,0.6098958333333333,1.3098394393920898,0.5791666666666667
8,1.104751580953598,0.64375,1.2744079987208048,0.5541666666666667
9,1.0077060480912527,0.678125,1.2315550645192463,0.5625
10,0.9268965403238932,0.7161458333333334,1.2998416662216186,0.5583333333333333
11,0.852233174443245,0.75625,1.2117652495702107,0.5708333333333333
12,0.8297550817330678,0.7552083333333334,1.4767974694569905,0.5208333333333334
13,0.7598298092683157,0.7833333333333333,1.392462674776713,0.5541666666666667
14,0.7055359800656636,0.8265625,1.2862427711486817,0.5708333333333333
15,0.6604084327816964,0.846875,1.2752575953801473,0.5833333333333334
16,0.6252120633920034,0.859375,1.538481585184733,0.5541666666666667
17,0.5839936440189679,0.8770833333333333,1.5224197467168172,0.49166666666666664
18,0.4992866893609365,0.9208333333333333,1.4307897090911865,0.575
19,0.47236440032720567,0.9255208333333333,1.281844107309977,0.625
20,0.45217370440562565,0.9447916666666667,1.3305379231770833,0.5875
21,0.43749885459740956,0.9416666666666667,1.2998656352361044,0.6083333333333333
22,0.42141639987627666,0.9505208333333334,1.3734991391499838,0.5875
23,0.4142493650317192,0.9515625,1.3717603127161662,0.6041666666666666
24,0.3932164778312047,0.959375,1.3086690187454224,0.6125
25,0.382401738067468,0.96875,1.3468011538187663,0.6041666666666666
