,precision,recall,f1-score,support
neutral,0.0,0.0,0.0,16.0
calm,0.0,0.0,0.0,32.0
happy,0.0,0.0,0.0,32.0
sad,1.0,0.03125,0.06060606060606061,32.0
angry,0.375,0.28125,0.32142857142857145,32.0
fearful,0.0,0.0,0.0,32.0
disgust,0.0,0.0,0.0,32.0
surprised,0.14883720930232558,1.0,0.2591093117408907,32.0
accuracy,0.175,0.175,0.175,0.175
macro avg,0.1904796511627907,0.1640625,0.08014299297194033,240.0
weighted avg,0.20317829457364342,0.175,0.08548585917006969,240.0
