epoch,train_loss,train_acc,val_loss,val_acc
1,2.0876010258992515,0.12916666666666668,2.07990083694458,0.12083333333333333
2,2.0810949007670083,0.11145833333333334,2.077939033508301,0.0875
3,2.076508061091105,0.12604166666666666,2.0760231653849286,0.15416666666666667
4,2.0756390412648518,0.15,2.074374771118164,0.18333333333333332
5,2.075659243265788,0.14791666666666667,2.072758404413859,0.16666666666666666
6,2.0758429686228435,0.12604166666666666,2.0710816542307535,0.14166666666666666
7,2.06945907274882,0.13125,2.0691728750864664,0.15
8,2.06363746325175,0.15729166666666666,2.0669779936472574,0.1625
9,2.0647805372873944,0.14479166666666668,2.063151216506958,0.1625
10,2.059940799077352,0.14583333333333334,2.065882094701131,0.12916666666666668
11,2.0549402077992758,0.134375,2.064731979370117,0.175
12,2.0488650163014728,0.15208333333333332,2.0706003665924073,0.1375
13,2.042896366119385,0.12604166666666666,2.076723639170329,0.1375
14,2.038140567143758,0.13541666666666666,2.0817028522491454,0.12916666666666668
15,2.035339442888896,0.16145833333333334,2.0846785227457683,0.1625
16,2.0302035729090373,0.16041666666666668,2.0898480892181395,0.1625
17,2.0290014187494916,0.16145833333333334,2.097031084696452,0.1625
18,2.030759644508362,0.13958333333333334,2.098743263880412,0.14583333333333334
19,2.0266839345296224,0.1625,2.0983061949412027,0.15833333333333333
20,2.026382867495219,0.13333333333333333,2.1014480590820312,0.1
21,2.0258003075917563,0.14791666666666667,2.1023569107055664,0.09583333333333334
