model,test_accuracy,test_macro_f1
aug_audio_plus_distilbert_avg,0.4791666666666667,0.4437652929038599
aug_audio_plus_text_rnn_avg,0.475,0.4409420470202307
aug_audio_85_distilbert_15,0.4708333333333333,0.4335588257098376
aug_audio_only,0.4666666666666667,0.43099656990553714
aug_audio_85_text_rnn_15,0.4666666666666667,0.4300293232507776
